BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000611	BGC0000611	Streptomyces sioyaensis strain ATCC 13989 siomycin biosynthesis gene cluster, complete sequence	LAP.thiopeptide.terpene	Others	Streptomyces sioyaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000630	BGC0000630	Paracoccus haeundaensis astaxanthin biosynthesis gene cluster, complete sequence	terpene	Terpene	Paracoccus haeundaensis	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
BGC0000631	BGC0000631	Botrytis cinerea B05.10 chromosome BCIN12, complete sequence	terpene	Terpene	Botrytis cinerea B05.10	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
BGC0000632	BGC0000632	Nocardia terpenica strain IFM 0406 genomic scaffold scaffold2, whole genome shotgun sequence	terpene	Terpene	Nocardia terpenica	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
BGC0000633	BGC0000633	Streptomyces avermitilis carotenoid biosynthetic gene cluster	terpene	Terpene	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000634	BGC0000634	Brevundimonas sp. NBRC 101024 carotenoid biosynthesis gene cluster (orf1, crtW, crtY, crtI, crtB, orf6, orf7, crtE, idi, crtZ, crtG, orf12), complete cds	terpene	Terpene	Brevundimonas sp. NBRC 101024	Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,unclassified Brevundimonas
BGC0000635	BGC0000635	Paracoccus sp. N81106 carotenoid biosynthesis gene cluster (idi, crtW, crtZ, crtY, crtI, crtB, crtE, crtX), complete cds	terpene	Terpene	Paracoccus sp. N81106	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,unclassified Paracoccus (in: Bacteria)
BGC0000636	BGC0000636	Brevibacterium linens carotenoid biosynthetic gene cluster, complete sequence	terpene	Terpene	Brevibacterium linens	Bacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
BGC0000637	BGC0000637	Brevibacterium flavum carotenoid biosynthesis gene cluster, partial sequence	terpene	Terpene	Corynebacterium glutamicum	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
BGC0000638	BGC0000638	Pantoea ananatis carotenoid biosynthesis gene cluster (crtE, crtX, crtY, crtI, crtB, crtZ), complete cds	terpene	Terpene	Pantoea ananatis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
